OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.19377904,-59.64178464,32,-16,92,-90
13.19377858,-59.64178141,32,-15,91.6,-90
13.19377836,-59.64177777,32,-15.1,91.6,-90
13.19377826,-59.64177462,32,-16.4,91.8,-90
13.19377807,-59.64177113,32,-15.6,91.8,-90
13.19377791,-59.64176643,32,-13.2,91.6,-90
13.19377779,-59.64176267,32,-12.9,91.6,-90
13.19377776,-59.64175883,32,-11.3,91.4,-90
13.19377766,-59.64175464,32,-11.4,91.4,-90
13.1937776,-59.6417517,32,-15.4,91.5,-90
13.19377751,-59.64174707,32,-15.9,91.6,-90
13.19377723,-59.64174264,32,-12.3,91.2,-90
13.19377705,-59.64173857,32,-9.4,91.4,-90
13.19377697,-59.64173467,32,-7,91.5,-90
13.19377686,-59.64173011,32,-7.2,91.3,-90
13.19377651,-59.64172672,32,-5.4,91.5,-90
13.19377628,-59.64172231,32,-1.7,91.4,-90
13.19377634,-59.64171823,32,1.3,91.1,-90
13.19377624,-59.64171485,32,14.8,91.1,-90
13.193776,-59.64171126,32,26.9,90.7,-90
13.19377595,-59.64170877,32,28.4,91.4,-90
13.19377582,-59.64170621,32,28.8,91.4,-90
13.19377574,-59.64170435,32,25.6,91.2,-90
13.19377596,-59.64170374,32,21.9,90.5,-90
13.1937759,-59.64170294,32,16.6,90.2,-90
13.19377563,-59.6417028,32,8.3,91.3,-90
13.1937755,-59.64170266,32,2.5,91.4,-90
13.19377523,-59.64170268,32,1.2,91.3,-90
13.19377511,-59.64170272,32,1.7,91.4,-90
13.19377496,-59.64170282,32,0.9,91.5,-90
13.19377486,-59.64170302,32,-1,91.5,-90
13.19377474,-59.64170311,32,-2.3,91.7,-90
13.19377466,-59.64170337,32,0,91.5,-90
13.19377451,-59.6417033,32,5.4,91.2,-90
13.19377443,-59.64170361,32,9.3,91.4,-90
13.1937743,-59.64170405,32,11.3,91.3,-90
13.19377424,-59.64170469,32,14.4,91.1,-90
13.19377424,-59.64170536,32,17.5,90.9,-90
13.19377436,-59.64170672,32,19.6,90.7,-90
13.19377448,-59.64170817,32,21.7,90.6,-90
13.19377473,-59.6417102,32,23.6,90.5,-90
13.19377519,-59.64171263,32,23.1,90.5,-90
13.19377559,-59.64171541,32,19.4,90.7,-90
13.19377592,-59.6417183,32,17.7,90.6,-90
13.19377641,-59.64172189,32,17.3,90.6,-90
13.1937769,-59.64172514,32,14.3,90.8,-90
13.19377737,-59.64172851,32,9.4,90.9,-90
13.19377791,-59.64173211,32,4.2,91.1,-90
13.19377842,-59.64173606,32,-2.1,91.2,-90
13.19377885,-59.64173961,32,-5,91.5,-90
13.19377934,-59.64174312,32,-9.8,91.5,-90
13.19377957,-59.64174575,32,-12.3,91.3,-90
13.19377994,-59.64174892,32,-7.6,91.4,-90
13.19378023,-59.64175169,32,-4.4,91.4,-90
13.19378054,-59.64175426,32,-3.4,91.4,-90
13.19378079,-59.64175716,32,-3.9,91.3,-90
13.19378104,-59.64175986,32,-4.3,91.5,-90
13.19378138,-59.64176253,32,-4.5,91.5,-90
13.19378165,-59.64176471,32,-3.7,91.3,-90
13.19378179,-59.64176681,32,-3.3,91.2,-90
13.19378213,-59.64176943,32,-3.4,91.4,-90
13.19378218,-59.64177169,32,-3.6,91.4,-90
13.19378242,-59.64177374,32,-2.8,91.5,-90
13.19378276,-59.64177599,32,-2.9,91.6,-90
13.193783,-59.64177818,32,-3.1,91.7,-90
13.19378331,-59.64178029,32,-3,91.8,-90
13.19378346,-59.64178187,32,-3.7,91.2,-90
13.19378344,-59.64178409,32,-2.3,91.1,-90
13.19378358,-59.64178616,32,-1.2,91.3,-90
13.19378375,-59.64178791,32,-2,91.5,-90
13.1937839,-59.6417897,32,-3.9,91.3,-90
13.19378383,-59.64179199,32,-3.8,91.5,-90
13.19378392,-59.64179384,32,-3.1,91.6,-90
13.19378439,-59.64179581,32,-3.3,91.6,-90
13.1937846,-59.64179789,32,-2,91.4,-90
